track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,artist_image_url,album_image_url,artist_image_url_valid,album_image_url_valid
Merry Christmas Everyone,Shakin' Stevens,1,1984,1,1,1087,0,351636786,90,35,5,0,0,101,C#,Minor,72,91,87,14,0,13,3,https://i.scdn.co/image/ab6761610000e5eb0cdda37cae32193ecc26fe02,https://i.scdn.co/image/ab67616d0000b273d962f3b4235f8c6429a829fb,True,True
Let It Snow! Let It Snow! Let It Snow!,"Frank Sinatra, B. Swanson Quartet",2,1950,1,1,10585,0,473248298,126,108,406,0,0,143,D,Major,60,86,32,88,0,34,6,,,False,False
SOS,SZA,1,2022,12,9,827,0,73981293,6,18,1,0,0,119,G,Minor,51,51,66,67,0,9,23,https://i.scdn.co/image/ab67616d0000b2733e5e82855f1cf77c1659919b,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1,True,True
Open Arms (feat. Travis Scott),"SZA, Travis Scott",2,2022,12,8,1420,4,155653938,13,87,17,0,46,78,A,Major,67,22,59,76,1,15,16,,,False,False
White Christmas,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",3,1942,1,1,11940,0,395591396,73,79,123,0,0,96,A,Major,23,19,25,91,0,40,3,,,False,False
Driving Home for Christmas - 2019 Remaster,Chris Rea,1,1986,1,1,888,0,429504768,50,0,6,0,0,180,A,Major,51,87,58,36,0,18,4,https://i.scdn.co/image/ab6761610000e5eb81aacad025d8338d125debd0,,True,False
Christmas (Baby Please Come Home),Darlene Love,1,1963,11,22,9122,0,242767149,121,58,212,0,0,126,D#,Major,34,35,76,39,0,8,5,https://i.scdn.co/image/d7d6a7209389a3985020c999b5584bf020772b24,https://i.scdn.co/image/ab67616d0000b2734bd42504ca3569f71af64fc8,True,True
Gone Girl,SZA,1,2022,12,9,892,0,65362788,3,17,2,0,0,150,F,Major,43,42,44,57,0,15,6,https://i.scdn.co/image/ab67616d0000b2733e5e82855f1cf77c1659919b,,True,False
F2F,SZA,1,2022,12,9,989,0,67540165,5,9,1,0,0,90,D,Major,53,47,74,9,0,34,4,https://i.scdn.co/image/ab67616d0000b2733e5e82855f1cf77c1659919b,https://i.scdn.co/image/ab67616d0000b273eff55e32fca69e0197434dd4,True,True
Notice Me,SZA,1,2022,12,9,819,0,62019074,14,22,0,0,0,160,F,Major,72,78,68,28,0,11,12,https://i.scdn.co/image/ab67616d0000b2733e5e82855f1cf77c1659919b,,True,False
Merry Christmas,"Ed Sheeran, Elton John",2,2017,11,10,2209,0,135723538,72,90,141,0,0,114,,Major,59,60,94,24,0,10,4,,https://i.scdn.co/image/ab67616d0000b273b629026e4cf6254a90dfc414,False,True
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",3,1958,1,1,6290,0,295998468,89,39,158,0,0,113,G,Major,73,72,32,77,0,15,5,,,False,False
My Only Wish (This Year),Britney Spears,1,2000,11,7,6952,0,261116938,115,53,286,0,0,147,,Major,67,69,72,17,0,19,3,https://i.scdn.co/image/ab6761610000e5eb3a49b0a3954e460a8a76ed90,https://i.scdn.co/image/ab67616d0000b27316ed688a08ecd351560f4566,True,True
Antidepresan,"Mabel Matiz, Mert Demir",2,2022,11,4,313,2,136689549,10,6,7,1,9,100,B,Minor,70,92,59,3,0,10,3,,,False,False
Wild Flower (with youjeen),RM,1,2022,12,2,353,2,135611421,2,74,14,0,2,155,G#,Major,49,42,77,3,0,12,9,https://i.scdn.co/image/ab6761610000e5ebb604a6798902efab5cb8ad91,,True,False
I Hate U,SZA,1,2021,12,3,4094,0,356709897,66,96,43,0,0,107,G,Minor,54,41,39,51,0,11,16,https://i.scdn.co/image/ab67616d0000b2733e5e82855f1cf77c1659919b,https://i.scdn.co/image/ab67616d0000b2732cb5c3a1013e6be7084da957,True,True
Raindrops (Insane) [with Travis Scott],"Travis Scott, Metro Boomin",2,2022,12,2,880,0,110649992,3,7,10,0,0,112,G#,Major,80,15,54,9,0,38,5,,,False,False
SPIT IN MY FACE!,ThxSoMch,1,2022,10,31,573,0,301869854,1,0,18,0,24,166,C#,Major,70,57,57,9,20,11,7,https://i.scdn.co/image/ab6761610000e5eba5c58d9cdf92d0f1ecd7d6e9,https://i.scdn.co/image/ab67616d0000b27360ddc59c8d590a37cf2348f3,True,True
Deck The Hall - Remastered 1999,Nat King Cole,1,1959,1,1,3299,0,127027715,65,39,41,0,0,107,F#,Minor,69,96,36,81,0,8,4,https://i.scdn.co/image/ab6761610000e5eb12cfc0c902710269d3a954aa,,True,False
Smoking on my Ex Pack,SZA,1,2022,12,9,811,0,57144458,6,11,3,0,0,81,G#,Major,47,33,68,24,0,22,38,https://i.scdn.co/image/ab67616d0000b2733e5e82855f1cf77c1659919b,,True,False
Conceited,SZA,1,2022,12,9,899,0,56870689,2,14,2,0,0,150,C#,Major,79,77,46,5,0,11,7,https://i.scdn.co/image/ab67616d0000b2733e5e82855f1cf77c1659919b,,True,False
Snow On The Beach (feat. Lana Del Rey),"Taylor Swift, Lana Del Rey",2,2022,10,21,2415,0,323437194,33,57,30,0,11,110,A,Major,66,19,32,69,0,12,4,,,False,False
Maroon,Taylor Swift,1,2022,10,21,2304,0,317726339,12,16,14,0,0,108,G,Major,64,4,40,6,0,10,6,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,,True,False
TubarÃ¯Â¿Â½Ã¯Â¿Â½o Te,"Dj LK da EscÃ¯Â¿Â½Ã¯Â¿Â½cia, Tchakabum, mc jhenny, M",4,2022,9,28,1003,0,116144341,21,0,44,0,0,130,E,Minor,89,48,74,30,0,7,36,,,False,False
Bejeweled,Taylor Swift,1,2022,10,21,2699,0,328207708,39,35,22,2,0,164,G,Major,70,39,56,6,0,9,7,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,,True,False
Tarot,"Bad Bunny, Jhay Cortez",2,2022,5,6,2482,20,608228647,27,77,22,2,0,114,B,Minor,80,42,68,2,0,66,4,,,False,False
You Make It Feel Like Christmas (feat. Blake Shelton),"Gwen Stefani, Blake Shelton",2,2005,9,20,2577,0,180577478,108,56,30,0,0,93,F,Major,63,93,88,1,0,12,4,,,False,False
Desesperados,"Chencho Corleone, Rauw Alejandro",2,2021,6,25,6821,34,809306935,83,58,128,7,0,90,C#,Minor,87,51,69,36,0,9,8,,,False,False
Too Late,SZA,1,2022,12,8,714,0,49262961,0,9,2,0,0,128,B,Major,45,35,68,78,0,39,8,https://i.scdn.co/image/ab67616d0000b2733e5e82855f1cf77c1659919b,https://i.scdn.co/image/ab67616d0000b27314a24011f5502ebf1b281be6,True,True
Party,"Bad Bunny, Rauw Alejandro",2,2022,5,6,3185,4,614555082,38,64,37,3,36,97,A,Major,83,47,80,2,0,24,9,,,False,False
Run Rudolph Run - Single Version,Chuck Berry,1,1958,1,1,8612,0,245350949,120,30,52,0,1,152,G,Minor,69,94,71,79,0,7,8,https://i.scdn.co/image/d58323616d4f5d22b51e9dfe0ba53aedabe53cd4,,True,False
Jingle Bells - Remastered 1999,Frank Sinatra,1,1957,1,1,4326,0,178660459,32,3,65,0,0,175,G#,Major,51,94,34,73,0,10,5,https://i.scdn.co/image/fc4e0f474fb4c4cb83617aa884dc9fd9822d4411,,True,False
Far,SZA,1,2022,12,9,680,0,51641685,2,15,1,0,0,116,D,Major,61,48,55,67,0,16,8,https://i.scdn.co/image/ab67616d0000b2733e5e82855f1cf77c1659919b,https://i.scdn.co/image/ab67616d0000b2739149193d649ed94b09d7a6c9,True,True
On Time (with John Legend),"John Legend, Metro Boomin",2,2022,12,2,398,0,78139948,2,2,6,0,2,80,F,Minor,33,51,59,76,0,44,6,,,False,False
GATÃ¯Â¿Â½Ã¯Â¿Â½,"Maldy, Karol G",2,2022,8,25,3328,13,322336177,39,50,57,3,1,93,B,Minor,63,34,86,26,0,21,39,,,False,False
Ã½Ã½Ã½abcdefu,Gayle,1,2021,8,13,7215,0,1007612429,170,12,575,18,,122,E,Major,70,42,54,30,0,37,5,https://i.scdn.co/image/ab6761610000e5eb1ed6748d965beb96e5ba04c1,,True,False
Sacrifice,The Weeknd,1,2022,1,7,4440,0,326792833,81,77,133,0,,122,G,Major,70,91,79,3,0,7,10,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,,True,False
Is There Someone Else?,The Weeknd,1,2022,1,7,2881,6,391251368,13,89,34,0,3,135,A,Minor,70,60,58,4,0,16,3,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,,True,False
Fingers Crossed,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",3,2022,1,5,2235,0,349585590,65,7,70,16,6,109,F,Major,60,45,47,62,0,31,5,https://i.scdn.co/image/ab6761610000e5eb5d30a2f5fc2b46d61f9c27ee,https://i.scdn.co/image/ab67616d0000b273d455dcb7c245d4ef1646d38e,True,True
Out of Time,The Weeknd,1,2022,1,7,3711,0,339659802,49,88,62,0,,93,,Minor,65,82,74,27,0,32,5,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,https://i.scdn.co/image/ab67616d0000b273c34dffa3ee633fa3915c6806,True,True
Do It To It,"Cherish, ACRAZE",2,2021,8,20,12403,0,674772936,183,63,465,0,11,125,B,Minor,85,64,81,2,5,7,9,,,False,False
We Don't Talk About Bruno,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",7,2021,11,19,2785,0,432719968,95,89,44,0,,206,,Minor,58,83,45,36,0,11,8,,,False,False
Pepas,Farruko,1,2021,6,24,14114,17,1309887447,252,109,965,20,,130,G,Major,76,44,77,1,0,13,3,https://i.scdn.co/image/ab6761610000e5ebb012855da7fae98ace556e34,https://i.scdn.co/image/ab67616d0000b2734239a6aa89738d8f798168ad,True,True
How Do I Make You Love Me?,The Weeknd,1,2022,1,7,1915,0,119238316,7,47,15,0,0,121,G,Minor,80,62,51,2,0,9,8,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,https://i.scdn.co/image/ab67616d0000b27314cf4f2a3a808b716604d115,True,True
Gasoline,The Weeknd,1,2022,1,7,2297,0,116903579,11,29,14,0,0,123,F#,Minor,74,35,73,0,0,21,5,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,,True,False
Infinity,Jaymes Young,1,2017,6,23,4375,0,888046992,24,0,396,0,0,122,B,Minor,67,50,67,15,0,30,4,https://i.scdn.co/image/ab6761610000e5eb87528aedec4b8d5586768014,https://i.scdn.co/image/ab67616d0000b2738b8b09361b491719b2d8b92b,True,True
Less Than Zero,The Weeknd,1,2022,1,7,2800,0,200660871,18,77,61,0,1,143,,Major,53,50,79,0,0,8,3,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,,True,False
Take My Breath,The Weeknd,1,2021,8,6,2597,0,130655803,17,80,38,0,0,121,A#,Minor,70,35,77,1,0,26,4,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,https://i.scdn.co/image/ab67616d0000b2733c041e53cb5c38b6de03e758,True,True
good 4 u,Olivia Rodrigo,1,2021,5,14,15563,6,1887039593,259,55,461,1,,166,F#,Minor,56,68,66,28,0,11,18,https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4,,True,False
"Here We GoÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½ Again (feat. Tyler, the Cr","The Weeknd, Tyler, The Creator",3,2022,1,7,1420,0,88103848,7,18,7,0,0,135,C#,Major,41,27,64,36,0,60,3,,,False,False
Best Friends,The Weeknd,1,2022,1,7,1292,0,101114984,3,18,14,0,0,87,E,Minor,49,49,59,44,0,35,21,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,https://i.scdn.co/image/ab67616d0000b2735c1ecd80ec5f25b556052431,True,True
Kiss Me More (feat. SZA),"SZA, Doja Cat",2,2021,4,9,15867,0,1575467011,382,65,497,0,12,111,G#,Major,77,74,66,30,0,13,3,,,False,False
I Heard You're Married (feat. Lil Wayne),"The Weeknd, Lil Wayne",2,2022,1,7,1178,0,91656026,9,10,9,0,0,110,D,Major,75,85,84,10,0,31,19,,,False,False
Need To Know,Doja Cat,1,2021,6,11,6672,0,1042568408,125,36,150,0,,130,C#,Major,66,19,61,30,0,9,7,https://i.scdn.co/image/ab6761610000e5ebe94f88ff74ae4ddcab961f97,https://i.scdn.co/image/ab67616d0000b2738970ac709e0d7101eb76eff3,True,True
MONTERO (Call Me By Your Name),Lil Nas X,1,2020,9,18,12329,0,1735441776,275,19,738,0,,179,G#,Minor,61,76,51,30,0,38,15,https://i.scdn.co/image/ab6761610000e5eb0eefd7d68573ea8f0f4db84a,https://i.scdn.co/image/ab67616d0000b273664034dd80e91b28f773598d,True,True
love nwantiti (ah ah ah),Ckay,1,2019,7,26,5669,2,726837877,74,0,262,14,,93,F,Minor,74,53,73,61,0,13,4,https://i.scdn.co/image/ab6761610000e5eb6bc8c6ddd810306da5659254,https://i.scdn.co/image/ab67616d0000b27325956469cdc7727bc3be7196,True,True
Dawn FM,The Weeknd,1,2022,1,7,811,0,53933526,1,8,6,0,0,78,A,Minor,27,10,49,62,0,49,5,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,https://i.scdn.co/image/ab67616d0000b2734ab2520c2c77a1d66b9ee21d,True,True
Surface Pressure,Jessica Darrow,1,2021,11,19,1756,0,267758538,38,48,20,0,0,180,D,Major,65,37,58,2,0,4,31,https://i.scdn.co/image/ab6761610000e5eb3201a8cc9d24a2eb9de2f4df,https://i.scdn.co/image/ab67616d0000b273f9e128c9459085f29bba666a,True,True
Starry Eyes,The Weeknd,1,2022,1,7,1014,0,74601456,1,17,11,0,0,86,A,Minor,28,13,41,50,0,19,3,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,https://i.scdn.co/image/ab67616d0000b273b85976e1b1bd2d00ff551a01,True,True
THATS WHAT I WANT,Lil Nas X,1,2021,9,17,7963,0,920797189,173,7,298,0,4,88,C#,Minor,74,55,85,1,0,5,22,https://i.scdn.co/image/ab6761610000e5eb0eefd7d68573ea8f0f4db84a,,True,False
One Right Now (with The Weeknd),"The Weeknd, Post Malone",2,2021,11,5,4771,0,539595276,68,18,75,0,1,97,C#,Major,68,72,78,4,0,7,5,,,False,False
Beggin,MÃ¯Â¿Â½Ã¯Â¿Â½ne,1,2017,12,8,8559,0,1367810478,183,64,964,9,75,134,B,Minor,71,59,80,13,0,36,5,,,False,False
Mon Amour - Remix,"Aitana, zzoilo",2,2020,9,21,3221,2,578207856,67,13,139,0,40,116,D,Major,75,36,76,12,0,10,10,,,False,False
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),"Julieta Venegas, Bad Bunny, Tainy",3,2021,10,5,3423,26,775542072,61,65,53,6,0,170,E,Minor,64,14,70,9,0,9,8,,,False,False
MONEY,Lisa,1,2021,9,10,2566,13,863625566,44,109,131,0,,140,C#,Minor,83,40,55,16,0,14,23,https://i.scdn.co/image/ab6761610000e5eb426faee7010fa829bb527cfb,https://i.scdn.co/image/ab67616d0000b273a8adc542e193cbd4845b8c18,True,True
The Motto,"TiÃ¯Â¿Â½Ã¯Â¿Â½sto, Ava",2,2021,11,4,9151,6,656013912,240,107,268,0,5,118,G,Minor,75,46,76,3,0,9,4,,,False,False
Happier Than Ever,Billie Eilish,1,2021,7,30,8476,0,1056760045,138,133,283,0,,65,,Major,31,31,24,76,0,14,4,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da,https://i.scdn.co/image/ab67616d0000b2732a038d3bf875d23e4aeaa84e,True,True
Moth To A Flame (with The Weeknd),"The Weeknd, Swedish House Mafia",2,2021,10,22,7495,17,611994237,114,172,284,2,,120,,Minor,56,16,67,0,0,11,4,,,False,False
traitor,"Juan Cruz Toledo, Huilen Toledo",2,2021,5,21,5257,6,1230855859,85,43,134,0,,176,D#,Major,29,12,33,68,0,12,5,,,False,False
Toxic,BoyWithUke,1,2021,9,10,1795,0,582981380,34,23,118,0,,180,G#,Minor,59,69,61,84,0,46,36,https://i.scdn.co/image/ab6761610000e5ebc69a43760a45bd0612770a0a,https://i.scdn.co/image/ab67616d0000b27382a18aa0d3374049c6b78f6a,True,True
drivers license,Olivia Rodrigo,1,2021,1,8,12685,3,1858144199,185,61,485,0,,144,A#,Major,59,21,43,76,0,10,7,https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4,https://i.scdn.co/image/ab67616d0000b2730e249906d89dcf62574646b5,True,True
MalvadÃ¯Â¿Â½Ã¯Â¿,"XamÃ¯Â¿Â½Ã¯Â¿Â½, Gustah, Neo B",3,2021,11,30,648,1,240684449,14,3,81,0,0,133,F#,Minor,82,52,61,38,0,14,27,,,False,False
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),Taylor Swift,1,2021,11,12,4635,5,583687007,50,49,30,1,2,93,,Major,63,21,52,28,0,9,3,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676,,True,False
DonÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿Â½t Break My,The Weeknd,1,2022,1,7,1184,0,63803529,1,5,6,0,0,122,A#,Major,77,25,62,34,0,23,3,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,,True,False
Oh My God,Adele,1,2021,11,19,4431,0,466214729,105,7,199,0,0,88,C#,Major,53,55,73,9,0,3,5,https://i.scdn.co/image/ab67616d0000b27308779bde4ae1e4010f9dcf61,,True,False
Entre Nosotros (Remix) [con Nicki Nicole],"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",4,2022,1,5,759,3,236940480,32,0,12,0,0,170,F,Minor,70,61,44,40,0,37,4,,,False,False
A Tale By Quincy,The Weeknd,1,2022,1,7,733,0,41924466,0,2,2,0,0,94,F,Minor,46,55,50,71,0,10,11,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,,True,False
I AM WOMAN,Emmy Meli,1,2021,11,18,2795,0,225259194,45,0,107,0,0,170,A#,Major,65,46,47,12,0,13,16,https://i.scdn.co/image/ab6761610000e5ebebe80557b2996cbf749a93f9,https://i.scdn.co/image/ab67616d0000b273d4e10cba96b669683d0f8069,True,True
Medallo,"Justin Quiles, Lenny TavÃ¯Â¿Â½Ã¯Â¿Â½rez, BL",3,2021,10,27,2780,2,393230256,54,21,57,1,0,90,E,Minor,79,79,70,57,0,66,8,,,False,False
It'll Be Okay,Shawn Mendes,1,2021,12,1,1950,0,287201015,56,8,104,0,10,78,G,Major,40,7,29,62,0,9,3,https://i.scdn.co/image/ab6761610000e5ebd56712ef06c48938329731e1,,True,False
Softcore,The Neighbourhood,1,2018,3,9,3947,12,599770206,33,102,93,0,30,94,D,Major,57,36,58,5,0,15,3,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816,,True,False
Super Gremlin,Kodak Black,1,2021,10,30,2551,0,342779426,52,15,35,0,1,73,D,Major,83,11,41,0,0,36,14,https://i.scdn.co/image/ab6761610000e5eb70c05cf4dc9a7d3ffd02ba19,https://i.scdn.co/image/ab67616d0000b2730801f4318b937ac0c912c7fe,True,True
VolvÃ¯Â¿,"Aventura, Bad Bunny",2,2021,8,3,5375,10,673801126,138,24,133,0,1,176,C#,Major,73,79,86,42,0,7,18,,https://i.scdn.co/image/ab67616d0000b27312bcec4f18ee130369ce170c,False,True
Todo De Ti,Rauw Alejandro,1,2020,11,2,11975,8,1168642797,188,75,268,6,16,128,D#,Minor,81,57,63,40,1,10,4,https://i.scdn.co/image/ab6761610000e5eba0881fe672e4e39f9ec0a9e0,https://i.scdn.co/image/ab67616d0000b2734801828052a610b910cff795,True,True
Love Nwantiti - Remix,"Ckay, AX'EL, Dj Yo!",3,2019,8,30,2696,0,540539717,42,2,57,0,,120,G#,Major,58,44,60,44,9,5,6,,https://i.scdn.co/image/ab67616d0000b27339bb326b58346f99b8692745,False,True
Smokin Out The Window,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,11,5,4963,0,383550148,63,40,76,0,0,82,D,Major,63,85,62,6,0,35,4,,,False,False
Meet Me At Our Spot,"THE ANXIETY, Willow, Tyler Cole",3,2020,3,13,6734,0,530511203,47,14,90,0,1,95,D,Major,77,40,47,2,0,9,3,,https://i.scdn.co/image/ab67616d0000b2734c661ea593496e940bc2965b,False,True
Every Angel is Terrifying,The Weeknd,1,2022,1,7,715,0,37307967,0,1,2,0,0,118,,Major,44,52,94,11,0,4,29,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,,True,False
Tacones Rojos,Sebastian Yatra,1,2021,10,22,3047,9,510876816,77,31,85,5,28,123,B,Minor,75,93,86,8,0,14,3,https://i.scdn.co/image/ab6761610000e5eb1f347feae6a2afbf3ffb364a,https://i.scdn.co/image/ab67616d0000b273f789b02ba6655a1f03d17b9f,True,True
Peaches (feat. Daniel Caesar & Giveon),"Justin Bieber, Daniel Caesar, Giveon",3,2021,3,19,14140,0,1445941661,231,52,612,6,,90,,Major,63,49,68,38,0,42,18,,,False,False
Dakiti,"Bad Bunny, Jhay Cortez",2,2020,10,30,11215,21,1763363713,189,166,525,9,25,110,E,Minor,73,14,57,40,0,11,5,,https://i.scdn.co/image/ab67616d0000b27334c8199b0b3b3fb42b8a98a8,False,True
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Bizarrap, Tiago pzk",2,2021,12,29,1678,12,374191487,20,4,15,1,3,96,C#,Minor,66,76,82,47,0,10,32,,https://i.scdn.co/image/ab67616d0000b2735bddce84bc8f03ac82c988d4,False,True
LÃ¯Â¿Â½Ã¯Â¿Â½Ã¯Â¿,Stromae,1,2022,1,9,2035,0,108809090,41,122,394,0,2,88,D,Minor,56,58,55,35,0,23,11,https://i.scdn.co/image/ab6761610000e5ebcc129f1c9b5047760d66aae2,,True,False
NostÃ¯Â¿Â½Ã¯Â¿Â½l,"Chris Brown, Rvssian, Rauw Alejandro",3,2021,9,8,2780,2,436695353,86,76,59,0,16,98,A,Minor,73,60,85,17,0,24,5,,,False,False
Better Days (NEIKED x Mae Muller x Polo G),"NEIKED, Mae Muller, Polo G",3,2021,9,24,4091,0,421040617,105,2,73,13,1,110,,Minor,72,67,68,0,0,14,4,,https://i.scdn.co/image/ab67616d0000b2736b742298f7f36717855c4caf,False,True
Life Goes On,Oliver Tree,1,2020,7,17,2868,0,501541661,43,15,116,0,,80,,Major,70,57,49,19,0,12,8,https://i.scdn.co/image/ab6761610000e5eb2615ef39cf9128c447b31619,https://i.scdn.co/image/ab67616d0000b273a250451cf808587a7f76a2c2,True,True
Sad Girlz Luv Money Remix (feat. Kali Uchis),"Kali Uchis, Amaarae, Moliy",3,2021,9,16,3643,0,354065229,69,3,70,0,3,110,C#,Minor,86,31,53,43,0,11,6,,,False,False
Butter,BTS,1,2021,5,21,4779,6,1143647827,180,135,223,0,5,110,G#,Major,79,70,36,0,0,6,11,https://i.scdn.co/image/0078316432cdfb6733c3bde0dc61754d45442d0f,https://i.scdn.co/image/ab67616d0000b273240447f2da1433d8f4303596,True,True
pushin P (feat. Young Thug),"Young Thug, Future, Gunna",3,2022,1,7,3517,0,311395144,54,28,43,0,0,78,C#,Minor,77,49,42,1,1,13,19,,,False,False
You Right,"Doja Cat, The Weeknd",2,2021,6,24,5073,0,672656250,83,9,100,0,4,129,G#,Major,83,44,62,2,0,8,6,,https://i.scdn.co/image/ab67616d0000b273ebd4ea3d32357ec42b6fe7fa,False,True
deja vu,Olivia Rodrigo,1,2021,4,1,7545,4,1256880657,117,39,141,0,46,181,A,Major,44,22,60,61,0,42,9,https://i.scdn.co/image/ab6761610000e5ebe03a98785f3658f0b6461ec4,https://i.scdn.co/image/ab67616d0000b273e319a4158cbee63598a17f41,True,True
Dynamite,BTS,1,2020,8,21,8528,5,1692897992,239,163,583,0,,114,F#,Minor,75,74,77,1,0,9,10,https://i.scdn.co/image/0078316432cdfb6733c3bde0dc61754d45442d0f,https://i.scdn.co/image/ab67616d0000b273668914e625d75e5fe3f1da51,True,True
TO THE MOON,Jnr Choi,1,2021,11,5,2979,0,245095641,44,0,159,0,0,144,D,Major,74,39,65,5,1,11,35,https://i.scdn.co/image/ab6761610000e5eb2e8867b26b01dd019d85c457,https://i.scdn.co/image/ab67616d0000b2739af8418ffb638b3306a07714,True,True
Lost in the Fire,"The Weeknd, Gesaffelstein",2,2019,1,11,7731,2,686734357,110,145,447,0,46,101,D,Major,66,18,68,9,0,12,4,,,False,False
Salimo de Noche,"Trueno, Tiago pzk",2,2021,10,21,1057,0,261414174,17,5,21,0,0,84,D,Major,67,78,63,29,0,12,5,,,False,False
Volando - Remix,"Sech, Bad Bunny, Mora",3,2021,7,8,3272,19,610045621,101,34,70,1,2,154,F#,Major,66,63,69,21,0,11,7,,,False,False
Leave The Door Open,"Bruno Mars, Anderson .Paak, Silk Sonic",3,2021,3,5,14417,0,1115880852,237,123,569,0,10,148,F,Major,59,72,62,18,0,9,3,,https://i.scdn.co/image/ab67616d0000b2730d18a58b311b58820ba4735f,False,True
Knife Talk (with 21 Savage ft. Project Pat),"Drake, Project Pat, 21 Savage",3,2021,9,3,5199,0,594482982,45,43,45,0,3,146,F,Minor,85,22,37,13,0,7,30,,,False,False
Don't Be Shy,"TiÃ¯Â¿Â½Ã¯Â¿Â½sto, Kar",2,2021,8,1,6026,0,566954746,171,51,187,1,21,120,B,Minor,77,51,79,20,0,26,6,,,False,False
Love Grows (Where My Rosemary Goes),Edison Lighthouse,1,1970,1,1,2877,0,BPM110KeyAModeMajorDanceability53Valence75Energy69Acousticness7Instrumentalness0Liveness17Speechiness3,16,0,54,0,0,110,A,Major,53,75,69,7,0,17,3,https://i.scdn.co/image/ab6761610000e5ebd4463af78a41ea5b1bd481d7,https://i.scdn.co/image/ab67616d0000b2739a0011cc9d31cf969b656905,True,True
LA FAMA (with The Weeknd),"The Weeknd, ROSALÃ¯Â¿Â½",2,2021,11,11,4640,3,374706940,81,93,507,6,4,136,,Minor,77,82,30,95,0,13,5,,,False,False
The Family Madrigal,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",3,2021,11,19,1150,0,184937148,20,38,12,0,0,141,C#,Major,59,56,63,12,0,6,36,,,False,False
Phantom Regret by Jim,The Weeknd,1,2022,1,7,768,0,31959571,1,1,3,0,0,108,A,Minor,46,23,48,75,30,14,4,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae,,True,False
Dos Oruguitas,Sebastian Yatra,1,2021,11,19,925,0,167076418,24,47,74,0,0,94,,Major,42,47,36,76,0,9,5,https://i.scdn.co/image/ab6761610000e5eb1f347feae6a2afbf3ffb364a,,True,False
Freaks,Surf Curse,1,2015,5,10,3006,3,824420218,23,21,121,0,13,180,A,Major,35,41,94,0,63,5,5,https://i.scdn.co/image/ab6761610000e5eb7fabcff4fe07270f07039355,https://i.scdn.co/image/ab67616d0000b2739efda673310de265a2c1cf1f,True,True
Acapulco,Jason Derulo,1,2021,9,1,3098,0,363467642,111,5,182,1,0,122,A#,Major,77,51,79,5,0,16,5,https://i.scdn.co/image/ab6761610000e5eb62fa38af4bdc7322b2103493,https://i.scdn.co/image/ab67616d0000b273aa56db8822c499a523b53235,True,True
